Property_Type,Club_House,School_University_In_Township,Hospital_In_Township,Mall_In_Township,Park_Jogging_Track,Swimming_Pool,Gym,Property_Area_in_SqFt,Price_In_Lakhs,Price_By_SubArea,Amenities_Score,Price_By_Amenities_Score,Noun_Counts,Verb_Counts,Adjective_Counts,boasts_elegant,elegant_towers,every_day,great_community,mantra_gold,offering_bedroom,quality_specification,stories_offering,towers_stories,world_class
3.0,1,0,0,0,1,1,1,1239.0,161.0,145.57499999999996,4,97.87350515463918,16,2,7,0,0,0,0,0,0,0,0,0,0
3.0,1,0,0,0,1,1,1,1315.0,170.0,145.57499999999996,4,97.87350515463918,8,0,3,0,0,0,0,0,0,0,0,0,0
3.0,1,0,0,0,1,1,1,1388.0,178.0,145.57499999999996,4,97.87350515463918,6,1,4,0,0,0,0,0,0,0,0,0,0
3.0,1,0,0,0,1,1,1,1463.0,187.0,145.57499999999996,4,97.87350515463918,11,1,7,0,0,1,0,0,0,0,0,0,0
3.5,1,0,0,0,1,1,1,1671.0,190.29999999999987,145.57499999999996,4,97.87350515463918,8,0,3,0,0,0,0,0,0,0,0,0,0
3.5,1,0,0,0,1,1,1,1671.7999999999995,190.29999999999987,145.57499999999996,4,97.87350515463918,7,2,5,0,0,0,0,0,0,0,0,0,0
1.0,1,0,0,0,1,1,1,575.0,65.0,106.049,4,97.87350515463918,14,1,3,0,0,0,0,0,0,0,0,0,0
2.0,1,0,0,0,1,1,1,751.0,84.0,106.049,4,97.87350515463918,7,0,3,0,0,0,0,0,0,0,0,0,0
2.0,1,0,0,0,1,1,1,761.0,85.0,106.049,4,97.87350515463918,3,2,7,0,0,0,0,0,0,0,0,0,0
2.0,1,0,0,0,1,1,1,871.0,96.0,106.049,4,97.87350515463918,7,1,3,0,0,0,0,0,0,0,0,0,0
3.0,1,0,0,0,1,1,1,1166.0,129.0,106.049,4,97.87350515463918,11,4,3,0,0,0,0,0,0,0,0,0,0
3.0,1,0,0,0,1,1,1,1206.0,133.0,106.049,4,97.87350515463918,8,3,2,0,0,0,0,0,0,0,0,0,0
3.0,1,0,0,0,1,1,1,1272.0,139.0,106.049,4,97.87350515463918,5,1,5,0,0,0,0,0,0,0,0,0,0
3.0,1,0,0,0,1,1,1,1279.0,140.0,106.049,4,97.87350515463918,4,3,3,0,0,0,0,0,0,0,0,0,0
2.0,0,0,0,0,1,0,0,646.0,43.2,45.3,1,62.574285714285715,5,1,5,0,0,0,0,0,0,0,0,0,0
2.0,0,0,0,0,1,0,0,717.0,47.4,45.3,1,62.574285714285715,13,1,6,0,0,0,0,0,0,0,0,0,0
1.0,0,0,0,0,1,0,0,436.0,30.58,45.68818181818182,1,62.574285714285715,8,0,4,0,0,0,0,0,0,0,0,0,0
2.0,0,0,0,0,1,0,0,637.0,43.49,45.68818181818182,1,62.574285714285715,6,0,4,0,0,0,0,0,0,0,0,0,0
2.0,0,0,0,0,1,0,0,642.0,43.83,45.68818181818182,1,62.574285714285715,5,2,5,0,0,0,0,0,0,0,0,0,0
2.0,0,0,0,0,1,0,0,655.0,44.44,45.68818181818182,1,62.574285714285715,7,0,3,0,0,0,0,0,0,0,0,0,0
2.0,0,0,0,0,1,0,0,668.0,45.52,45.68818181818182,1,62.574285714285715,6,1,4,0,0,0,0,0,0,0,0,0,0
3.0,0,0,0,0,1,0,0,810.0,54.0,45.68818181818182,1,62.574285714285715,7,2,5,0,0,0,0,0,0,0,0,0,0
2.0,0,0,0,0,1,0,1,735.0,111.0,135.8,2,81.48103448275862,8,0,3,0,0,0,0,0,0,0,0,0,0
2.0,0,0,0,0,1,0,1,783.0,118.0,135.8,2,81.48103448275862,6,0,1,1,1,0,1,0,1,1,1,1,0
2.0,0,0,0,0,1,0,1,805.0,121.0,135.8,2,81.48103448275862,10,0,3,0,0,0,0,0,0,0,0,0,0
3.0,0,0,0,0,1,0,1,1074.0,162.0,135.8,2,81.48103448275862,10,1,3,0,0,0,0,0,0,0,0,0,0
3.0,0,0,0,0,1,0,1,1111.0,167.0,135.8,2,81.48103448275862,10,3,7,0,0,1,0,0,0,0,0,0,0
1.0,1,0,0,0,1,0,1,535.0,36.0,145.57499999999996,3,68.51434782608695,6,2,2,0,0,0,0,0,0,0,0,0,0
2.0,1,0,0,0,1,0,1,725.0,52.0,145.57499999999996,3,68.51434782608695,6,2,6,0,0,0,0,0,0,0,0,0,0
2.0,1,0,0,0,1,0,0,810.0,79.0,88.0,2,81.48103448275862,5,1,6,0,0,0,0,0,0,0,0,0,0
3.0,1,0,0,0,1,0,0,947.0,97.0,88.0,2,81.48103448275862,9,1,4,0,0,0,0,0,0,0,0,0,0
2.0,1,0,0,0,1,1,1,697.0,68.06,87.52666666666667,4,97.87350515463918,12,2,8,0,0,0,0,0,0,0,0,0,0
2.0,1,0,0,0,1,1,1,711.0,68.41,87.52666666666667,4,97.87350515463918,5,2,5,0,0,0,0,0,0,0,0,0,0
2.0,1,0,0,0,1,1,1,792.0,78.0,87.52666666666667,4,97.87350515463918,3,0,2,0,0,0,0,0,0,0,0,0,0
3.0,1,0,0,0,1,1,1,980.0,98.87,87.52666666666667,4,97.87350515463918,12,0,5,0,0,0,0,0,0,0,0,0,0
2.0,1,0,0,0,1,1,1,1400.0,140.0,87.52666666666667,4,97.87350515463918,3,1,3,0,0,0,0,0,0,0,0,0,0
3.0,1,0,0,0,1,1,1,1671.7999999999995,177.0,87.52666666666667,4,97.87350515463918,7,1,4,0,0,0,0,0,0,0,0,0,0
2.0,0,0,0,0,1,0,0,732.0,68.8,75.6375,1,62.574285714285715,8,2,8,0,0,0,0,0,0,0,0,0,0
2.0,0,0,0,0,1,0,0,751.0,68.8,75.6375,1,62.574285714285715,6,0,6,0,0,0,0,0,0,0,0,0,1
5.0,0,0,0,0,1,0,0,1662.0,130.0,75.6375,1,62.574285714285715,9,1,6,0,0,0,0,0,0,0,0,0,0
2.0,0,0,0,0,0,0,1,705.0,48.0,86.58333333333333,1,62.574285714285715,7,0,2,0,0,0,0,0,0,0,0,0,0
2.0,0,0,0,0,0,0,1,726.0,51.0,86.58333333333333,1,62.574285714285715,10,3,5,0,0,0,0,0,0,0,0,0,0
2.0,0,0,0,0,0,0,1,809.0,56.0,86.58333333333333,1,62.574285714285715,6,2,4,0,0,0,0,0,0,0,0,0,0
2.0,1,0,0,0,1,1,1,734.0,95.0,127.5,4,97.87350515463918,12,1,8,0,0,0,0,0,0,0,0,0,0
2.0,1,0,0,0,1,1,1,793.0,110.0,127.5,4,97.87350515463918,8,1,5,0,0,0,0,0,0,0,0,0,1
2.0,1,0,0,0,1,1,1,904.0,118.0,127.5,4,97.87350515463918,8,2,7,0,0,0,0,0,0,0,0,0,1
3.0,1,0,0,0,1,1,1,1154.0,146.0,127.5,4,97.87350515463918,8,0,4,0,0,0,0,0,0,0,0,0,0
3.0,1,0,0,0,1,1,1,1168.0,147.0,127.5,4,97.87350515463918,5,3,3,0,0,0,0,0,0,0,0,0,0
3.0,1,0,0,0,1,1,1,1189.0,149.0,127.5,4,97.87350515463918,8,2,6,0,0,0,0,0,0,0,0,0,0
1.0,0,0,0,0,1,1,1,479.0,38.68,87.52666666666667,3,68.51434782608695,5,0,2,0,0,0,0,0,0,0,0,0,0
2.0,0,0,0,0,1,1,1,693.0,58.0,87.52666666666667,3,68.51434782608695,7,0,2,0,0,0,0,0,0,0,0,0,0
2.0,0,0,0,0,1,1,1,725.0,60.72,87.52666666666667,3,68.51434782608695,12,0,3,0,0,0,0,0,0,0,0,0,0
2.0,0,0,0,0,1,1,1,808.0,81.49,106.049,3,68.51434782608695,4,0,5,0,0,0,0,0,0,0,0,0,0
3.0,0,0,0,0,1,1,1,1086.0,108.0,106.049,3,68.51434782608695,6,0,3,0,0,0,0,0,0,0,0,0,0
2.0,1,0,0,0,1,1,1,785.0,74.5,69.12111111111112,4,97.87350515463918,5,0,4,0,0,0,0,0,0,0,0,0,0
2.0,1,0,0,0,1,1,1,844.0,80.59,69.12111111111112,4,97.87350515463918,12,0,4,0,0,0,0,0,0,0,0,0,0
2.0,1,0,0,0,1,1,1,873.0,83.0,69.12111111111112,4,97.87350515463918,9,1,7,0,0,0,0,0,0,0,0,0,0
2.0,1,0,0,0,1,1,1,606.0,47.25,55.24,4,97.87350515463918,3,0,7,0,0,0,0,0,0,0,0,0,0
2.0,1,0,0,0,1,1,1,611.0,47.5,55.24,4,97.87350515463918,10,0,8,0,0,0,0,0,0,0,0,0,0
2.0,1,0,0,0,1,1,1,626.0,48.43,55.24,4,97.87350515463918,6,0,2,0,0,0,0,0,0,0,0,0,0
